Entry,Identity,M+.,[M+H]+,CCS (Å2),Sourceb,Retention time (min)
1,Resorcinol,110.0363,111.0441,118.70,Measured,10.14
2,4-Methyl-m-phenylenediamine,122.0839,123.0917,123.30,Measured,10.04
3,Nitrobenzene,123.0315,124.0393,119.68,Predicted,7.81
4,"2-Methoxyaniline, o-Anisidine",123.0679,124.0757,128.02,Measured,8.16
5,Naphthalene,128.0621,129.0699,119.57,Measured,8.58
6,6-Methoxy-m-toluidine,137.0836,138.0914,132.14,Measured,8.62
7,Salicyclic acid,138.0312,139.0390,120.05,Measured,12.25
8,4-Tert-butylphenol,150.1040,151.1118,136.91,Predicted,10.63
9,Paracetamol,151.0628,152.0706,130.81,Measured,13.62
10,Acenaphthylene,152.0621,153.0699,125.03,Measured,10.38
11,"Cis-cyclohexane-1,2-dicarboxylic anhydride",154.0625,155.0703,137.36,Predicted,8.73
12,"trans-cyclohexane-1,2-dicarboxylic anhydride",154.0625,155.0703,137.23,Predicted,8.73
13,"Cyclohexane-1,2-dicarboxylic anhydride",154.0625,155.0703,138.37,Predicted,8.73
14,Acenaphthene,154.0778,155.0856,128.09,Measured,10.13
15,Monochloronaphthalene 1,162.0231,163.0309,124.86,Predicted,9.32
16,Monochloronaphthalene 2,162.0231,163.0309,125.42,Predicted,9.67
17,"P-(1,1-dimethylpropyl)phenol",164.1196,165.1274,140.09,Predicted,11.27
18,Fluorene,166.0778,167.0856,130.12,Measured,11.26
19,Hexahydro-3-methylphthalic anhydride,168.0781,169.0859,140.18,Predicted,9.09
20,Hexahydro-4-methylphthalic anhydride,168.0781,169.0859,141.29,Predicted,9.44
21,Hexahydromethylphthalic anhydride,168.0781,169.0859,141.43,Predicted,10.67
22,Biphenyl-4-ylamine,169.0886,170.0964,145.04,Measured,13.83
23,Phenanthrene,178.0778,179.0856,130.74,Measured,15.75
24,Anthracene,178.0778,179.0856,132.07,Measured,15.86
25,Acetylsalicylic acid,180.0418,181.0496,129.42,Predicted,12.4
26,"1,7-Dimethylxanthine",180.0642,181.0720,132.40,Measured,17.41
27,Triethyl phosphate,182.0703,183.0781,132.63,Measured,7.62
28,"3-Ethyl-2-methyl-2-(3-methylbutyl)-1,3-oxazolidine",185.1775,186.1853,145.05,Predicted,10.3
29,"Benzene-1,2,4-tricarboxylic acid 1,2 anhydride",192.0054,193.0132,130.86,Measured,13.97
30,"4-(2,2-Dimethylpentan-3-yl)phenol",192.1509,193.1587,149.48,Predicted,12.76
31,"4-(2,4-Dimethylpentan-2-yl)phenol",192.1509,193.1587,147.57,Predicted,12.79
32,4-(5-Methylhexan-3-yl)phenol,192.1509,193.1587,149.18,Predicted,12.9
33,"4-(4,4-Dimethylpentan-2-yl)phenol",192.1509,193.1587,147.41,Predicted,13.02
34,"4-(2,3,3-Trimethylbutan-2-yl)phenol",192.1509,193.1587,147.04,Predicted,13.1
35,"4-(2,3-Dimethylpentan-2-yl)phenol",192.1509,193.1587,147.27,Predicted,13.2
36,4-(2-Methylhexan-2-yl)phenol,192.1509,193.1587,150.11,Predicted,13.23
37,4-(5-Methylhexan-2-yl)phenol,192.1509,193.1587,147.13,Predicted,13.24
38,4-(Heptan-4-yl)phenol,192.1509,193.1587,149.78,Predicted,13.27
